time_msec,throughput,current_buffer,current_playing_segment
85502,1127.77,23.2,42
85608,1106.29,23.09,42
85749,86.4,24.95,42
85854,1216.91,24.85,42
85965,1046.49,24.74,42
86067,1594.35,24.64,42
86176,1290.67,24.531,42
86279,1127.77,24.421,42
86388,1183.11,24.309,42
86496,1411.29,24.209,42
86604,1194.17,24.1,42
86714,1161.6,24,43
86821,1315.02,23.89,43
86921,1161.6,23.79,43
87026,893.538,23.691,43
87225,751.245,25.49,43
87328,1240.54,25.38,43
87430,1265.11,25.28,43
87535,1005.23,25.181,43
87647,1348.29,25.06,43
87748,1393.92,24.96,43
87851,1252.71,24.86,43
87959,1398.22,24.75,43
88064,1327.54,24.65,43
88172,1302.73,24.54,43
88280,1411.29,24.43,43
88389,959.119,24.319,43
88490,1277.76,24.22,43
88607,666.824,26.1,43
88709,1035.09,26,44
88815,986.264,25.911,44
88917,1366.59,25.811,44
89023,1315.02,25.7,44
89132,1385.39,25.591,44
89233,2300.2,25.491,44
89338,1452,25.38,44
89443,1438.17,25.281,44
89551,1411.29,25.171,44
89652,1265.11,25.07,44
89757,995.657,24.961,44
89862,1340.31,24.861,44
89963,1380.12,24.761,44
90066,1480.47,24.661,44
90171,1452,24.551,44
90271,1510.08,24.451,44
90380,2043.56,24.341,44
90483,1240.54,24.241,44
90601,660.35,26.121,44
90711,852.55,26.011,44
90818,1519.85,25.92,45
90918,1626.24,25.821,45
91024,1438.17,25.721,45
91132,1519.85,25.61,45
91233,1510.08,25.511,45
91337,1452,25.401,45
91443,1659.43,25.3,45
91546,1578.87,25.201,45
91654,1613.33,25.091,45
91761,1534.19,24.981,45
91861,1626.24,24.88,45
91966,1563.69,24.779,45
92197,502.857,24.54,45
92393,135.547,26.35,45
92520,548.787,26.22,45
92622,1265.11,26.121,45
92729,1519.85,26.01,45
92833,1787.08,25.93,46
92935,1610.14,25.831,46
93043,1628.41,25.72,46
93146,1691.65,25.621,46
93255,1613.33,25.511,46
93358,1691.65,25.4,46
93465,1753.36,25.3,46
93566,1510.08,25.2,46
93669,1804.43,25.09,46
93773,1804.43,24.99,46
93879,1643.77,24.88,46
93986,1753.36,24.78,46
